MATERIAL;EAN;IMAGEN_GRANDE;MARCA;CARACTERISTICA
720107;7703081247083;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Ninas/CAMISETAS/Lomego_Kd/1000x1263/Camiseta-Nina-Lomego-Kd-Blanco-908-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
720478;7703081336381;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Negro-Intenso-799-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
720478;7703081336398;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Blanco-900-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
720478;7703081336411;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Negro-Intenso-799-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
720478;7703081336428;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Blanco-900-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
720478;7703081336442;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Negro-Intenso-799-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
720478;7703081336459;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Blanco-900-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
703944;7703081337661;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/Tamara_2_Short/1000x1263/Bermuda-Mujer-Tamara-2-Short-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
703944;7703081337685;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/Tamara_2_Short/1000x1263/Bermuda-Mujer-Tamara-2-Short-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
703944;7703081337708;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/Tamara_2_Short/1000x1263/Bermuda-Mujer-Tamara-2-Short-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
703944;7703081337722;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/Tamara_2_Short/1000x1263/Bermuda-Mujer-Tamara-2-Short-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
703944;7703081337746;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/Tamara_2_Short/1000x1263/Bermuda-Mujer-Tamara-2-Short-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
703944;7703081337760;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/Tamara_2_Short/1000x1263/Bermuda-Mujer-Tamara-2-Short-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
720381;7703081338132;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/New_Tamara_Bermuda/1000x1263/Bermuda-Mujer-New-Tamara-Bermuda-Negro-Intenso-799-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
720381;7703081338163;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/New_Tamara_Bermuda/1000x1263/Bermuda-Mujer-New-Tamara-Bermuda-Negro-Intenso-799-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
720381;7703081338194;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/New_Tamara_Bermuda/1000x1263/Bermuda-Mujer-New-Tamara-Bermuda-Negro-Intenso-799-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
720381;7703081338224;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/New_Tamara_Bermuda/1000x1263/Bermuda-Mujer-New-Tamara-Bermuda-Negro-Intenso-799-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
720381;7703081338255;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/New_Tamara_Bermuda/1000x1263/Bermuda-Mujer-New-Tamara-Bermuda-Negro-Intenso-799-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
720381;7703081338286;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/New_Tamara_Bermuda/1000x1263/Bermuda-Mujer-New-Tamara-Bermuda-Negro-Intenso-799-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
660074;7703081340159;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/2019/PBC/ES-CO/Imagenes/Hombres/Pijamas/Brothers/1000x1263/Buzo-Hombre-Brothers-Gris-Jaspe-758-Frente-Punto-Blanco.jpg?sharp=1&height=400&width=400;PUNTO BLANCO;CON CAPUCHA
660074;7703081340180;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/2019/PBC/ES-CO/Imagenes/Hombres/Pijamas/Brothers/1000x1263/Buzo-Hombre-Brothers-Gris-Jaspe-758-Frente-Punto-Blanco.jpg?sharp=1&height=400&width=400;PUNTO BLANCO;CON CAPUCHA
660074;7703081340210;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/2019/PBC/ES-CO/Imagenes/Hombres/Pijamas/Brothers/1000x1263/Buzo-Hombre-Brothers-Gris-Jaspe-758-Frente-Punto-Blanco.jpg?sharp=1&height=400&width=400;PUNTO BLANCO;CON CAPUCHA
660074;7703081340241;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/2019/PBC/ES-CO/Imagenes/Hombres/Pijamas/Brothers/1000x1263/Buzo-Hombre-Brothers-Gris-Jaspe-758-Frente-Punto-Blanco.jpg?sharp=1&height=400&width=400;PUNTO BLANCO;CON CAPUCHA
720478;7703081360416;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Negro-Intenso-799-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
720478;7703081360423;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Blanco-900-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
720478;7703081365077;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
720478;7703081365084;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
720478;7703081365091;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
720478;7703081365107;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
719057;7703081369679;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2020/GEF/ES-CO/Imagenes/Hombres/CAMISETAS/Acotte/1000x1263/Camiseta-Hombre-Acotte-Blanco-902-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
719057;7703081369709;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2020/GEF/ES-CO/Imagenes/Hombres/CAMISETAS/Acotte/1000x1263/Camiseta-Hombre-Acotte-Blanco-902-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
719057;7703081369730;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2020/GEF/ES-CO/Imagenes/Hombres/CAMISETAS/Acotte/1000x1263/Camiseta-Hombre-Acotte-Blanco-902-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
719057;7703081369761;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2020/GEF/ES-CO/Imagenes/Hombres/CAMISETAS/Acotte/1000x1263/Camiseta-Hombre-Acotte-Blanco-902-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
720381;7703081386997;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/New_Tamara_Bermuda/1000x1263/Bermuda-Mujer-New-Tamara-Bermuda-Negro-27037-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
720381;7703081387000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/New_Tamara_Bermuda/1000x1263/Bermuda-Mujer-New-Tamara-Bermuda-Negro-27037-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
720381;7703081387017;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/New_Tamara_Bermuda/1000x1263/Bermuda-Mujer-New-Tamara-Bermuda-Negro-27037-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
720381;7703081387024;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/New_Tamara_Bermuda/1000x1263/Bermuda-Mujer-New-Tamara-Bermuda-Negro-27037-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
720381;7703081387031;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/New_Tamara_Bermuda/1000x1263/Bermuda-Mujer-New-Tamara-Bermuda-Negro-27037-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
720381;7703081387048;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/New_Tamara_Bermuda/1000x1263/Bermuda-Mujer-New-Tamara-Bermuda-Negro-27037-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
720623;7703081418612;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujer_Adulta/CHAQUETAS_BUSOS/New_Cardy_Work/1000x1263/Buzo-Mujer-Adulta-New-Cardy-Work-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SIN CAPUCHA
720623;7703081418629;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujer_Adulta/CHAQUETAS_BUSOS/New_Cardy_Work/1000x1263/Buzo-Mujer-Adulta-New-Cardy-Work-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SIN CAPUCHA
720623;7703081418636;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujer_Adulta/CHAQUETAS_BUSOS/New_Cardy_Work/1000x1263/Buzo-Mujer-Adulta-New-Cardy-Work-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SIN CAPUCHA
721197;7703081419114;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Junior_Masculino/PANTALONES/Link_Jr/1000x1263/Pantalon-Junior-Masculino-Link-Jr-Verde-6440-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
721197;7703081419121;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Junior_Masculino/PANTALONES/Link_Jr/1000x1263/Pantalon-Junior-Masculino-Link-Jr-Verde-6440-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
721197;7703081419138;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Junior_Masculino/PANTALONES/Link_Jr/1000x1263/Pantalon-Junior-Masculino-Link-Jr-Verde-6440-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;
721714;7703081441184;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISAS/Poli/1000x1263/Camisa-Mujer-Poli-Palo-De-Rosa-27839-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
721714;7703081441221;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISAS/Poli/1000x1263/Camisa-Mujer-Poli-Palo-De-Rosa-27839-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
721714;7703081441269;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISAS/Poli/1000x1263/Camisa-Mujer-Poli-Palo-De-Rosa-27839-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
721736;7703081442105;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujer_Adulta/CAMISAS/Kiky/1000x1263/Camisa-Mujer-Adulta-Kiky-Blanco-900-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
721736;7703081442112;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujer_Adulta/CAMISAS/Kiky/1000x1263/Camisa-Mujer-Adulta-Kiky-Rosado-3123-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
721736;7703081442129;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujer_Adulta/CAMISAS/Kiky/1000x1263/Camisa-Mujer-Adulta-Kiky-Azul-5758-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
721736;7703081442136;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujer_Adulta/CAMISAS/Kiky/1000x1263/Camisa-Mujer-Adulta-Kiky-Blanco-900-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
721736;7703081442143;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujer_Adulta/CAMISAS/Kiky/1000x1263/Camisa-Mujer-Adulta-Kiky-Rosado-3123-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
721736;7703081442150;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujer_Adulta/CAMISAS/Kiky/1000x1263/Camisa-Mujer-Adulta-Kiky-Azul-5758-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
721736;7703081442167;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujer_Adulta/CAMISAS/Kiky/1000x1263/Camisa-Mujer-Adulta-Kiky-Blanco-900-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
721736;7703081442174;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujer_Adulta/CAMISAS/Kiky/1000x1263/Camisa-Mujer-Adulta-Kiky-Rosado-3123-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
721736;7703081442181;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujer_Adulta/CAMISAS/Kiky/1000x1263/Camisa-Mujer-Adulta-Kiky-Azul-5758-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;MANGA CORTA
721914;7703081452845;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Junior_Femenino/CAMISETAS/Lacua_Jr/1000x1263/Camiseta-Junior-Femenino-Lacua-Jr-Amarillo-15660-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
721914;7703081452869;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Junior_Femenino/CAMISETAS/Lacua_Jr/1000x1263/Camiseta-Junior-Femenino-Lacua-Jr-Amarillo-15660-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
721914;7703081452883;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Junior_Femenino/CAMISETAS/Lacua_Jr/1000x1263/Camiseta-Junior-Femenino-Lacua-Jr-Amarillo-15660-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
721914;7703081453040;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Junior_Femenino/CAMISETAS/Lacua_Jr/1000x1263/Camiseta-Junior-Femenino-Lacua-Jr-Blanco-908-Frente-Gef.jpg?sharp=1&height=400&width=400;GEF;SISA ENTRADA
