ean;imagen_grande;imagen_espalda;imagen_detalle;imagen_detalle2;modelo
7703081007731;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Hombres/ACCESORIOS/Lodi_Reloj/1000x1263/Reloj-Hombre-Lodi-Reloj-Verde-10883-Frente-Gef.jpg?sharp=1&height=1000&width=1000;;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Lodi_Reloj/1000x1263/Reloj-Hombre-Lodi-Reloj-Verde-10883-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Lodi_Reloj/1000x1263/Reloj-Hombre-Lodi-Reloj-Verde-10883-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;
7703081008042;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Hombres/ACCESORIOS/Isaac_Morral/1000x1263/Maletin-Hombre-Isaac-Morral-Azul-10664-Frente-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Isaac_Morral/1000x1263/Maletin-Hombre-Isaac-Morral-Azul-10664-Espalda-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Isaac_Morral/1000x1263/Maletin-Hombre-Isaac-Morral-Azul-10664-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Isaac_Morral/1000x1263/Maletin-Hombre-Isaac-Morral-Azul-10664-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;
7703081008097;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Hombres/ACCESORIOS/Felix_Morral/1000x1263/Maletin-Hombre-Felix-Morral-Negro-27664-Frente-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Felix_Morral/1000x1263/Maletin-Hombre-Felix-Morral-Negro-27664-Espalda-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Felix_Morral/1000x1263/Maletin-Hombre-Felix-Morral-Negro-27664-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Felix_Morral/1000x1263/Maletin-Hombre-Felix-Morral-Negro-27664-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;
7703081008592;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Hombres/ACCESORIOS/Mati_Tula/1000x1263/Bolso-Hombre-Mati-Tula-Negro-28077-Frente-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Mati_Tula/1000x1263/Bolso-Hombre-Mati-Tula-Negro-28077-Espalda-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Mati_Tula/1000x1263/Bolso-Hombre-Mati-Tula-Negro-28077-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Mati_Tula/1000x1263/Bolso-Hombre-Mati-Tula-Negro-28077-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;
7703081008608;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Hombres/ACCESORIOS/Noa_Bolso/1000x1263/Bolso-Hombre-Noa-Bolso-Habano-25482-Frente-Gef.jpg?sharp=1&height=1000&width=1000;;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Noa_Bolso/1000x1263/Bolso-Hombre-Noa-Bolso-Habano-25482-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Noa_Bolso/1000x1263/Bolso-Hombre-Noa-Bolso-Habano-25482-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;
7703081008615;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Hombres/ACCESORIOS/Enzo_Estuche/1000x1263/Estuche-Hombre-Enzo-Estuche-Azul-25077-Frente-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Enzo_Estuche/1000x1263/Estuche-Hombre-Enzo-Estuche-Azul-25077-Espalda-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Enzo_Estuche/1000x1263/Estuche-Hombre-Enzo-Estuche-Azul-25077-Detalle3-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Enzo_Estuche/1000x1263/Estuche-Hombre-Enzo-Estuche-Azul-25077-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;
7703081008622;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Hombres/ACCESORIOS/Kael_Estuche/1000x1263/Estuche-Hombre-Kael-Estuche-Habano-25482-Frente-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Kael_Estuche/1000x1263/Estuche-Hombre-Kael-Estuche-Habano-25482-Espalda-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Kael_Estuche/1000x1263/Estuche-Hombre-Kael-Estuche-Habano-25482-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Kael_Estuche/1000x1263/Estuche-Hombre-Kael-Estuche-Habano-25482-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;
7703081008639;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Hombres/ACCESORIOS/Doro_Estuche/1000x1263/Estuche-Hombre-Doro-Estuche-Negro-27664-Frente-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Doro_Estuche/1000x1263/Estuche-Hombre-Doro-Estuche-Negro-27664-Espalda-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Doro_Estuche/1000x1263/Estuche-Hombre-Doro-Estuche-Negro-27664-Detalle-Gef.jpg?sharp=1&height=1000&width=1000;;
7703081008721;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Hombres/ACCESORIOS/Adam_Sombrero/1000x1263/Sombrero-Hombre-Adam-Sombrero-Habano-26006-Frente-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Adam_Sombrero/1000x1263/Sombrero-Hombre-Adam-Sombrero-Habano-26006-Espalda-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Adam_Sombrero/1000x1263/Sombrero-Hombre-Adam-Sombrero-Habano-26006-Detalle-Gef.jpg?sharp=1&height=1000&width=1000;;
7703081008738;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Hombres/ACCESORIOS/Bruno_Sombrero/1000x1263/Sombrero-Hombre-Bruno-Sombrero-Habano-25482-Frente-Gef.jpg?sharp=1&height=1000&width=1000;;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Bruno_Sombrero/1000x1263/Sombrero-Hombre-Bruno-Sombrero-Habano-25482-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Bruno_Sombrero/1000x1263/Sombrero-Hombre-Bruno-Sombrero-Habano-25482-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;
7703081008844;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Hombres/ACCESORIOS/Poke_Morral/1000x1263/Maletin-Hombre-Poke-Morral-Negro-28101-Frente-Gef.jpg?sharp=1&height=1000&width=1000;;;;
7703081008998;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Hombres/ACCESORIOS/Oci_Billetera/1000x1263/Billetera-Hombre-Oci-Billetera-Negro-28101-Frente-Gef.jpg?sharp=1&height=1000&width=1000;;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Oci_Billetera/1000x1263/Billetera-Hombre-Oci-Billetera-Negro-28101-Detalle-Gef.jpg?sharp=1&height=1000&width=1000;;
7703081009001;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Hombres/ACCESORIOS/Hazel_Billetera/1000x1263/Billetera-Hombre-Hazel-Billetera-Verde-11227-Frente-Gef.jpg?sharp=1&height=1000&width=1000;;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Hazel_Billetera/1000x1263/Billetera-Hombre-Hazel-Billetera-Verde-11227-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/GEF/ES-CO/Imagenes/Hombres/ACCESORIOS/Hazel_Billetera/1000x1263/Billetera-Hombre-Hazel-Billetera-Verde-11227-Detalle2-Gef.jpg?sharp=1&height=1000&width=1000;
7703081009025;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Teo_Correa/1000x1263/Correa-Hombre-Teo-Correa-Verde-10611-Frente-Gef.jpg?sharp=1&height=1000&width=1000;;;;
7703081009032;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Teo_Correa/1000x1263/Correa-Hombre-Teo-Correa-Verde-10611-Frente-Gef.jpg?sharp=1&height=1000&width=1000;;;;
7703081009049;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Teo_Correa/1000x1263/Correa-Hombre-Teo-Correa-Verde-10611-Frente-Gef.jpg?sharp=1&height=1000&width=1000;;;;
7703081009056;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Teo_Correa/1000x1263/Correa-Hombre-Teo-Correa-Verde-10611-Frente-Gef.jpg?sharp=1&height=1000&width=1000;;;;
7703081009063;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Runi_Correa/1000x1263/Correa-Hombre-Runi-Correa-Azul-25660-Frente-Gef.jpg?sharp=1&height=1000&width=1000;;;;
7703081009070;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/Gef/ES-CO/Imagenes/Masculino_Exterior/ACCESORIOS/Runi_Correa/1000x1263/Correa-Hombre-Runi-Correa-Azul-25660-Frente-Gef.jpg?sharp=1&height=1000&width=1000;;;;
