MATERIAL;DESCRIPCION_MATERIAL;DESCRIPCION_MATERIAL_ENRIQUECIDO;DESCRIPCION_LARGA;EAN;DESCRIPCION_TALLA;DESCRIPCION_COLOR;IMAGEN_GRANDE;TIPO_PRENDA;COMPOSICION_ES;GENERO;MARCA;DEPARTAMENTO;CARACTERISTICA;TAGS;GRUPO_DESTINO
700962;Short para Junior Femenino Godi Azul Marino 14;Short Godi Jr Azul Marino 14;<ul><li>Short.</li><li>Silueta ajustada con 4 bolsillos y cierre de cremallera con botón.</li><li>Para junior femenino.</li><li>Elaborado en tejido plano algodón y elastano.</li></ul>;7703081052953;14;AZUL MARINO 5430;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Junior_Femenino/BERMUDAS/Godi_Jr/1000x1263/Bermuda-Junior-Femenino-Godi-Jr-Azul-Marino-5430-Frente-Gef.jpg?sharp=1&height=400&width=400;PANTALONES;0000-00-00 00:00:00.000000;FEMENINO;GEF;JUNIOR;;short, short de niña, short mujer, short mujer joven, ropa para niña, ropa para mujer joven, ropa para jovenes, short corto, short juvenil, ropa para verano juvenil, short estampado, juvenil, ropa para sol, pantalones cortos juveniles.;JUNIOR FEMENINO
700962;Short para Junior Femenino Godi Azul Marino 16;Short Godi Jr Azul Marino 16;<ul><li>Short.</li><li>Silueta ajustada con 4 bolsillos y cierre de cremallera con botón.</li><li>Para junior femenino.</li><li>Elaborado en tejido plano algodón y elastano.</li></ul>;7703081052977;16;AZUL MARINO 5430;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Junior_Femenino/BERMUDAS/Godi_Jr/1000x1263/Bermuda-Junior-Femenino-Godi-Jr-Azul-Marino-5430-Frente-Gef.jpg?sharp=1&height=400&width=400;PANTALONES;0000-00-00 00:00:00.000000;FEMENINO;GEF;JUNIOR;;short, short de niña, short mujer, short mujer joven, ropa para niña, ropa para mujer joven, ropa para jovenes, short corto, short juvenil, ropa para verano juvenil, short estampado, juvenil, ropa para sol, pantalones cortos juveniles.;JUNIOR FEMENINO
700962;Short para Junior Femenino Godi Azul Marino 18;Short Godi Jr Azul Marino 18;<ul><li>Short.</li><li>Silueta ajustada con 4 bolsillos y cierre de cremallera con botón.</li><li>Para junior femenino.</li><li>Elaborado en tejido plano algodón y elastano.</li></ul>;7703081052991;18;AZUL MARINO 5430;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Junior_Femenino/BERMUDAS/Godi_Jr/1000x1263/Bermuda-Junior-Femenino-Godi-Jr-Azul-Marino-5430-Frente-Gef.jpg?sharp=1&height=400&width=400;PANTALONES;0000-00-00 00:00:00.000000;FEMENINO;GEF;JUNIOR;;short, short de niña, short mujer, short mujer joven, ropa para niña, ropa para mujer joven, ropa para jovenes, short corto, short juvenil, ropa para verano juvenil, short estampado, juvenil, ropa para sol, pantalones cortos juveniles.;JUNIOR FEMENINO
720107;Camiseta Lomego Kd Blanca 4;Camiseta Lomego Kd Blanca 4;<ul><li>Camiseta.</li><li>Silueta ajustada con cuello redondo y manga corta Tiene el borde de mangas y ruedo con ruche.</li><li>Para niña.</li><li>Elaborada en tejido de punto algodón y elastano .</li></ul>;7703081246963;4;BLANCO 908;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Ninas/CAMISETAS/Lomego_Kd/1000x1263/Camiseta-Nina-Lomego-Kd-Blanco-908-Frente-Gef.jpg?sharp=1&height=400&width=400;CAMISETAS;0000-00-00 00:00:00.000000;FEMENINO;GEF;NIÑOS;MANGA CORTA;camiseta, camiseta para niña, camiseta cuello redondo, camiseta manga corta, camiseta con fit ajustado;NIÑAS
720107;Camiseta Lomego Kd Blanca 6;Camiseta Lomego Kd Blanca 6;<ul><li>Camiseta.</li><li>Silueta ajustada con cuello redondo y manga corta Tiene el borde de mangas y ruedo con ruche.</li><li>Para niña.</li><li>Elaborada en tejido de punto algodón y elastano .</li></ul>;7703081246994;6;BLANCO 908;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Ninas/CAMISETAS/Lomego_Kd/1000x1263/Camiseta-Nina-Lomego-Kd-Blanco-908-Frente-Gef.jpg?sharp=1&height=400&width=400;CAMISETAS;0000-00-00 00:00:00.000000;FEMENINO;GEF;NIÑOS;MANGA CORTA;camiseta, camiseta para niña, camiseta cuello redondo, camiseta manga corta, camiseta con fit ajustado;NIÑAS
720107;Camiseta para Niña Lomego Kd Blanca 8;Camiseta Lomego Kd Blanca 8;<ul><li>Camiseta.</li><li>Silueta ajustada con cuello redondo y manga corta Tiene el borde de mangas y ruedo con ruche.</li><li>Para niña.</li><li>Elaborada en tejido de punto algodón y elastano .</li></ul>;7703081247021;8;BLANCO 908;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Ninas/CAMISETAS/Lomego_Kd/1000x1263/Camiseta-Nina-Lomego-Kd-Blanco-908-Frente-Gef.jpg?sharp=1&height=400&width=400;CAMISETAS;;FEMENINO;GEF;NIÑOS;MANGA CORTA;camiseta, camiseta para niña, camiseta cuello redondo, camiseta manga corta, camiseta con fit ajustado;NIÑAS
720107;Camiseta Lomego Kd Blanca 10;Camiseta Lomego Kd Blanca 10;<ul><li>Camiseta.</li><li>Silueta ajustada con cuello redondo y manga corta Tiene el borde de mangas y ruedo con ruche.</li><li>Para niña.</li><li>Elaborada en tejido de punto algodón y elastano .</li></ul>;7703081247052;10;BLANCO 908;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Ninas/CAMISETAS/Lomego_Kd/1000x1263/Camiseta-Nina-Lomego-Kd-Blanco-908-Frente-Gef.jpg?sharp=1&height=400&width=400;CAMISETAS;0000-00-00 00:00:00.000000;FEMENINO;GEF;NIÑOS;MANGA CORTA;camiseta, camiseta para niña, camiseta cuello redondo, camiseta manga corta, camiseta con fit ajustado;NIÑAS
720107;Camiseta para Niña Lomego Kd Blanca 12;Camiseta Lomego Kd Blanca 12;<ul><li>Camiseta.</li><li>Silueta ajustada con cuello redondo y manga corta Tiene el borde de mangas y ruedo con ruche.</li><li>Para niña.</li><li>Elaborada en tejido de punto algodón y elastano .</li></ul>;7703081247083;12;BLANCO 908;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Ninas/CAMISETAS/Lomego_Kd/1000x1263/Camiseta-Nina-Lomego-Kd-Blanco-908-Frente-Gef.jpg?sharp=1&height=400&width=400;CAMISETAS;;FEMENINO;GEF;NIÑOS;MANGA CORTA;camiseta, camiseta para niña, camiseta cuello redondo, camiseta manga corta, camiseta con fit ajustado;NIÑAS
720478;Camiseta Pauli Negra S;Camiseta Pauli Negra S;<ul><li>Camiseta.</li><li>Manga sisa.</li><li>Escote redondo.</li><li>Tejido de punto Algodón con Elastano.</li><li>Silueta ajustada.</li></ul>;7703081336381;S;NEGRO INTENSO 799;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Negro-Intenso-799-Frente-Gef.jpg?sharp=1&height=400&width=400;CAMISETAS;;FEMENINO;GEF;ADULTOS;SISA ENTRADA;camiseta, camiseta para mujer, camiseta manga sisa, camiseta cuello redondo, camiseta basica, camiseta negra para mujer, basica manga sisa, ropa para mujer, camiseta casual, camiseta oficina, basicos para mujer, esqueleto mujer.;MUJER JOVEN
720478;Camiseta Pauli Blanca S;Camiseta Pauli Blanca S;<ul><li>Camiseta.</li><li>Manga sisa.</li><li>Escote redondo.</li><li>Tejido de punto Algodón con Elastano.</li><li>Silueta ajustada.</li></ul>;7703081336398;S;BLANCO 900;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Blanco-900-Frente-Gef.jpg?sharp=1&height=400&width=400;CAMISETAS;;FEMENINO;GEF;ADULTOS;SISA ENTRADA;camiseta, camiseta para mujer, camiseta manga sisa, camiseta cuello redondo, camiseta basica, camiseta blanca para mujer, basica manga sisa, ropa para mujer, camiseta casual, camiseta oficina, basicos para mujer, esqueleto mujer.;MUJER JOVEN
