[2021-07-24 11:36:06,776: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-24 11:36:10,562: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-24 11:36:10,685: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-24 11:36:10,686: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-24 11:36:10,686: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-24 11:36:10,695: INFO   ] pid: 9792
[2021-07-26 08:21:56,310: INFO   ] Stopping Celery_pim service ...
[2021-07-26 08:21:56,425: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 08:21:59,697: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 08:21:59,847: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-26 08:21:59,847: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-26 08:21:59,847: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-26 08:21:59,886: INFO   ] pid: 14784
[2021-07-26 10:26:34,755: INFO   ] Stopping Celery_pim service ...
[2021-07-26 10:26:34,876: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 10:26:51,523: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 10:26:51,615: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-26 10:26:51,700: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-26 10:26:51,700: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-26 10:26:51,743: INFO   ] pid: 11640
[2021-07-26 12:17:24,414: INFO   ] Stopping Celery_pim service ...
[2021-07-26 12:17:24,454: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 12:17:43,045: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 12:17:43,136: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-26 12:17:43,136: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-26 12:17:43,136: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-26 12:17:43,142: INFO   ] pid: 13696
[2021-07-26 12:29:43,964: INFO   ] Stopping Celery_pim service ...
[2021-07-26 12:29:44,008: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 12:29:55,354: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 12:29:55,450: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-26 12:29:55,451: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-26 12:29:55,451: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-26 12:29:55,485: INFO   ] pid: 13804
[2021-07-26 12:40:29,064: INFO   ] Stopping Celery_pim service ...
[2021-07-26 12:40:29,123: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 12:40:33,436: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 12:40:33,531: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-26 12:40:33,531: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-26 12:40:33,531: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-26 12:40:33,541: INFO   ] pid: 9488
[2021-07-26 16:23:14,986: INFO   ] Stopping Celery_pim service ...
[2021-07-26 16:23:15,163: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 16:23:31,086: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 16:23:31,227: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-26 16:23:31,228: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-26 16:23:31,228: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-26 16:23:31,239: INFO   ] pid: 14888
[2021-07-26 16:46:05,676: INFO   ] Stopping Celery_pim service ...
[2021-07-26 16:46:05,694: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 16:46:14,611: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-26 16:46:14,729: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-26 16:46:14,729: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-26 16:46:14,729: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-26 16:46:14,772: INFO   ] pid: 17384
[2021-07-27 12:42:08,985: INFO   ] Stopping Celery_pim service ...
[2021-07-27 12:42:09,258: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-27 12:42:15,110: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-27 12:42:15,188: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-27 12:42:15,189: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-27 12:42:15,189: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-27 12:42:15,397: INFO   ] pid: 12828
[2021-07-28 12:01:31,852: INFO   ] Stopping Celery_pim service ...
[2021-07-28 12:01:32,002: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 12:01:36,594: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 12:01:36,737: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-28 12:01:36,737: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-28 12:01:36,737: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-28 12:01:36,749: INFO   ] pid: 10128
[2021-07-28 12:22:38,131: INFO   ] Stopping Celery_pim service ...
[2021-07-28 12:22:38,256: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 12:22:53,847: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 12:22:54,063: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-28 12:22:54,063: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-28 12:22:54,063: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-28 12:22:54,095: INFO   ] pid: 516
[2021-07-28 12:31:40,406: INFO   ] Stopping Celery_pim service ...
[2021-07-28 12:31:40,416: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 12:31:59,878: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 12:32:00,026: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-28 12:32:00,026: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-28 12:32:00,026: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-28 12:32:00,038: INFO   ] pid: 14512
[2021-07-28 14:49:08,817: INFO   ] Stopping Celery_pim service ...
[2021-07-28 14:49:09,242: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 14:49:12,332: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 14:49:12,425: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-28 14:49:12,425: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-28 14:49:12,425: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-28 14:49:12,442: INFO   ] pid: 13432
[2021-07-28 15:18:17,021: INFO   ] Stopping Celery_pim service ...
[2021-07-28 15:18:17,033: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 15:18:19,725: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 15:18:19,843: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-28 15:18:19,843: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-28 15:18:19,843: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
